# name,base_url
IN,https://pypi-official-data.argos-labs.com
JP,https://note.jiangnan.pw
US,http://154.21.200.94:32770
JP,https://file.jiangnan.pw
CN,https://d.11444.xyz
CN,http://d.11444.xyz
US,https://deeplxv.ymfsing.com
US,http://deeplxv.ymfsing.com
KR,http://132.226.18.117:12311
FR,http://deeplx.tryu.tech
FR,https://deeplx.tryu.tech
JP,https://deeplx.1143520.xyz
US,http://deeplx.dz.ax
US,http://deepl.minjae.dev
US,https://deeplx.dz.ax
US,http://deeplx.885211314.xyz
JP,http://deeplx.1143520.xyz
CN,http://deeplx.binscor.top
US,https://deeplx.885211314.xyz
CN,http://180.122.202.137:1188
DE,https://translate.zitsass.com
DE,http://translate.zitsass.com
US,http://deepl.garryde.com
US,https://deepl.garryde.com
CN,http://156.254.115.38:20000
US,https://deeplx.520116.xyz
US,http://deeplx.520116.xyz
